school_name,address,postal_code,town,latitude,longitude
Admiralty Primary School,11 Woodlands Circle,738907,Woodlands,1.4426347903311,103.800040119743
Ahmad Ibrahim Primary School,10 Yishun Street 11,768643,Yishun,1.43341408412245,103.832750468895
Ai Tong School,100 Bright Hill Drive,579646,Bishan,1.36058343005814,103.83302033725
Alexandra Primary School,2A Prince Charles Crescent,159016,Bukit Merah,1.2912990413487,103.823940802388
Anchor Green Primary School,31 Anchorvale Drive,544969,Seng Kang,1.39050830954652,103.887433162937
Anderson Primary School,19 Ang Mo Kio Ave 9,569785,Ang Mo Kio,1.38419941907925,103.841411716006
Ang Mo Kio Primary School,20 Ang Mo Kio Avenue 3,569920,Ang Mo Kio,1.36870363392975,103.839705325534
Anglo-Chinese School (Junior),16 Winstedt Road,227988,Central,1.30900345657234,103.84185340188
Anglo-Chinese School (Primary),50 Barker Road,309918,Novena,1.31837054523521,103.835609732354
Angsana Primary School,51 Tampines Street 61,528565,Tampines,1.3632481897246,103.938914821167
Beacon Primary School,36 Bukit Panjang Ring Road,679944,Bukit Panjang,1.38394936211823,103.773632022975
Bedok Green Primary School,1 Bedok South Ave 2,469317,Bedok,1.32399627990304,103.937745023577
Bendemeer Primary School,91 Bendemeer Road,339948,Kallang,1.3225449659487,103.864715966512
Blangah Rise Primary School,91 Telok Blangah Heights,109100,Bukit Merah,1.27671535398442,103.809208632292
Boon Lay Garden Primary School,20 Boon Lay Drive,649930,Jurong West,1.34284013791617,103.712858381937
Bukit Panjang Primary School,109 Cashew Road,679676,Bukit Panjang,1.37362179302436,103.769374904025
Bukit Timah Primary School,111 Lorong Kismis,598112,Bukit Timah,1.3372995575169,103.766828720721
Bukit View Primary School,18 Bukit Batok Street 21,659634,Bukit Batok,1.34586054788695,103.75366641455
Canberra Primary School,21 Admiralty Drive,757714,Sembawang,1.45123288382933,103.81588941317
Canossa Catholic Primary School,1 Sallim Road,387621,Geylang,1.32630544320425,103.882889732898
Cantonment Primary School,1 Cantonment Close,088256,Bukit Merah,1.27547252623201,103.839962631748
Casuarina Primary School,30 Pasir Ris St 41,518935,Pasir Ris,1.37310773436801,103.957112275692
Catholic High School (Primary Section),9 Bishan Street 22,579767,Bishan,1.35438878373608,103.844210670766
Cedar Primary School,15 Cedar Avenue,349700,Toa Payoh,1.3355885014312,103.87562104944
Changkat Primary School,11 Simei St 3,529896,Tampines,1.34023163951633,103.952080114035
CHIJ (Katong) Primary,17 Martia Road,424821,Bedok,1.30664965374234,103.911104935556
CHIJ (Kellock),1 Bukit Teresa Road,099757,Bukit Merah,1.275022722964,103.828157564896
CHIJ Our Lady of Good Counsel,2C Burghley Drive,558979,Serangoon,1.35742952269615,103.864009397373
CHIJ Our Lady of the Nativity,1257 Upper Serangoon Road,534793,Hougang,1.37357409699145,103.897768958127
CHIJ Our Lady Queen of Peace,4 Chestnut Drive,679287,Bukit Panjang,1.366603668561,103.767412204602
CHIJ Primary (Toa Payoh),628 Lorong 1 Toa Payoh,319765,Toa Payoh,1.33275264711587,103.841847263786
CHIJ St. Nicholas Girls' School (Primary Section),501 Ang Mo Kio Street 13,569405,Ang Mo Kio,1.37347687878916,103.834253269436
Chongfu School,170 Yishun Avenue 6,768959,Yishun,1.43846230429529,103.839070714229
Chongzheng Primary School,1 Tampines Street 21,529392,Tampines,1.35070739237744,103.951399541868
Chua Chu Kang Primary School,20 Choa Chu Kang Avenue 2,689905,Choa Chu Kang,1.37775890093367,103.741832917421
Clementi Primary School,8 Clementi Ave 3,129903,Clementi,1.31505731320501,103.762966674996
Compassvale Primary School,21 Compassvale St,545091,Seng Kang,1.39443093598545,103.897904958974
Concord Primary School,3 Choa Chu Kang Ave 4,689814,Choa Chu Kang,1.38026516111464,103.736554295636
Corporation Primary School,31 Jurong West Street 24,648347,Jurong West,1.35099779872539,103.707593724342
Damai Primary School,52 Bedok Reservoir Crescent,479226,Bedok,1.33524602829747,103.921286435321
Dazhong Primary School,35 Bukit Batok Street 31,659441,Bukit Batok,1.35906257616677,103.748122250254
De La Salle School,11 Choa Chu Kang St 52,689285,Choa Chu Kang,1.39479396035866,103.743123358084
East Spring Primary School,31 Tampines St 33,529258,Tampines,1.35268400746357,103.961676849165
Edgefield Primary School,41 Edgefield Plains,828869,Punggol,1.40029783011552,103.907430523653
Elias Park Primary School,11 Pasir Ris Street 52,518866,Pasir Ris,1.37451269377776,103.945128117139
